GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pan_gene_symbol,product,TIGRFAM Meta Role,TIGRFAM Main Role,TIGRFAM Sub Role,TIGRFAM function,TIGRFAM,TIGRFAM HMM score
SAUSA300_RS01020,1076.1816768268425,2.890077733938376,0.17006227763000034,324.08293715933803,4.229454491443593e-71,1.1113646935998656e-69,murP,permease,NA,NA,NA,"PTS system, sucrose-specific IIBC component",TIGR01996,294.4
SAUSA300_RS01025,1115.1602057782106,2.7829140643232124,0.11974099480677186,656.5709886344481,2.6756008740179728e-143,1.6753815685606158e-141,murR,MurR/RpiR family transcriptional regulator,NA,NA,NA,6-phospho 3-hexuloisomerase,TIGR03127,41.6
SAUSA300_RS01055,2157.9280971915546,-4.513569370900464,0.17971029591685872,508.10041499844067,4.649398345292382e-111,2.206964408096045e-109,-,ABC transporter ATP-binding protein,Metabolism,Transport and binding proteins,Cations and iron carrying compounds,nickel import ATP-binding protein NikD,TIGR02770,447.4
SAUSA300_RS01060,1175.4196307146829,-4.641576157117274,0.21424629087495053,444.13695722872563,3.6048328592130836e-97,1.3777952083979357e-95,-,ABC transporter permease,Metabolism,Transport and binding proteins,Cations and iron carrying compounds,"nickel ABC transporter, permease subunit NikB",TIGR02789,205.4
SAUSA300_RS01065,1094.1658153656322,-5.494597612555892,0.2430988616948601,496.0682893345832,1.906073517426121e-108,8.764959940289178e-107,-,ABC transporter permease,Metabolism,Transport and binding proteins,Cations and iron carrying compounds,"nickel ABC transporter, permease subunit NikC",TIGR02790,222.4
SAUSA300_RS01070,2131.658892642459,-5.871094234836304,0.21348779269315274,664.0385585706047,6.3952734803707824e-145,4.182508856162492e-143,-,peptide ABC transporter substrate-binding protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS01075,2281.1663860736826,-4.250292337805899,0.20013487135638938,386.424860144285,1.2271786318439794e-84,3.883426573674013e-83,ggt,gamma-glutamyltransferase,Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers",Glutathione and analogs,gamma-glutamyltransferase,TIGR00066,502.7
SAUSA300_RS01085,861.9677081401767,1.1507819803024693,0.13458542611419955,100.88222915099618,1.240801411399291e-22,9.291802935745836e-22,azoR,FMN-dependent NADH-azoreductase,NA,NA,NA,"LLM-partnered FMN reductase, CE1759 family",TIGR04037,15.3
SAUSA300_RS01135,555.9543380088093,2.2406309076259774,0.16786046176415426,196.1499727319487,2.5502021556908518e-43,3.9501289179990404e-42,uhpT,hexose phosphate transporter,Metabolism,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids",phosphoglycerate transporter family protein,TIGR00881,357.1
SAUSA300_RS01170,286.5365298971096,-1.9282864711438794,0.14632283383839245,177.83128542717174,2.4234106638719505e-39,3.198250037567332e-38,-,glycerophosphoryl diester phosphodiesterase,NA,NA,NA,TonB system transport protein ExbD,TIGR02804,12.5
SAUSA300_RS01185,249.16977862915016,1.801678016363658,0.17285842982240737,110.34930909195589,1.0913196869482855e-24,8.775283712264492e-24,NA,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS01195,10179.427852518736,1.9893330559324354,0.17742705460772212,118.21483757464051,2.1378349910853505e-26,1.8837270595102357e-25,fadA,acetyl-CoA acetyltransferase,Metabolism,Fatty acid and phospholipid metabolism,Other,acetyl-CoA C-acyltransferase,TIGR01930,454.8
SAUSA300_RS01200,15985.41272910649,2.137254850672466,0.16709241936465277,151.76396366719325,1.108853096994632e-33,1.255136409405847e-32,fadB,3-hydroxyacyl-CoA dehydrogenase,NA,NA,NA,"fatty acid oxidation complex, alpha subunit, mitochondrial",TIGR02441,175
SAUSA300_RS01205,10506.545328889742,2.0924531929138195,0.1567736818750709,172.15096013805555,4.1485275528676534e-38,5.3784654573081515e-37,fadD,glutaryl-CoA dehydrogenase,NA,NA,NA,cyclohexanecarboxyl-CoA dehydrogenase,TIGR03207,73
SAUSA300_RS01210,12583.2054625358,1.5133498651463506,0.15010557627451485,99.63694175220101,2.3126664582700884e-22,1.71873166330527e-21,fadE,long-chain-fatty-acid--CoA ligase,Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers",Menaquinone and ubiquinone,O-succinylbenzoate-CoA ligase,TIGR01923,271.9
SAUSA300_RS01235,126.40348063738497,1.5496038654808444,0.2342873767174276,55.01521907877542,1.1313499622419188e-12,4.947344634291184e-12,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS01240,1518.4142206507568,1.6250141680244252,0.15525760193069116,138.3758694303138,8.954920588718118e-31,9.21480115125784e-30,hmp,nitric oxide dioxygenase,Metabolism,Energy metabolism,Other,"phenylacetate-CoA oxygenase/reductase, PaaK subunit",TIGR02160,56.5
SAUSA300_RS01260,3182.9206381042122,-1.015148066535831,0.14426841295925383,83.27158789133873,8.275694301247997e-19,5.138263360458408e-18,glcC,PTS glucose transporter subunit IIB,Metabolism,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids","PTS system, glucose-specific IIBC component",TIGR02002,591.6
SAUSA300_RS01430,1273.091641077487,2.0954148449609225,0.189908894834271,183.99702685363357,1.1105887642495434e-40,1.5789675039547855e-39,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS01450,2211.5935810512874,-2.219892946934007,0.12098136424557744,332.6227859533807,5.913978653128523e-73,1.6115591829775226e-71,lytM,glycyl-glycine endopeptidase LytM,Genetic information processing,Transcription,DNA-dependent RNA polymerase,"DNA-directed RNA polymerase, beta' subunit",TIGR02386,11.2
SAUSA300_RS01455,830.7473842507779,1.1744815620721225,0.12725276361966537,85.13161384734926,3.265163516874222e-19,2.0576822762657036e-18,-,ABC transporter ATP-binding protein,Metabolism,Transport and binding proteins,"Carbohydrates, organic alcohols, and acids","ABC transporter, ATP-binding subunit, PQQ-dependent alcohol dehydrogenase system",TIGR03864,143.2
SAUSA300_RS01470,14779.898452917856,1.1893032357089057,0.14553210206266373,65.79933261132331,5.15058391215271e-15,2.5955767899769563e-14,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS01490,51292.16683398881,1.21810543028996,0.15712097698273875,94.15029146793773,3.59355232526162e-21,2.573193307358868e-20,esxA,virulence factor EsxA,NA,NA,NA,WXG100 family type VII secretion target,TIGR03930,80.2
SAUSA300_RS01510,1465.5970919968597,1.2010091340902718,0.16503273730341209,52.252171969289876,4.5038614611004885e-12,1.8854714480823238e-11,essB,protein EssB,Genetic information processing,Protein fate,Protein and peptide secretion and trafficking,type VII secretion protein EssB,TIGR03926,452.3
SAUSA300_RS01545,2143.0065820854074,1.150913564270416,0.16450390045695829,53.27853930529267,2.6959522009696206e-12,1.149882221370086e-11,esaG,TIGR01741 family protein,NA,NA,NA,conserved hypothetical protein,TIGR01741,257.5
SAUSA300_RS01550,169.1885579083401,1.2444617120710002,0.1719814291514963,62.25066591019379,3.0369640444292214e-14,1.4462435570801293e-13,-,DUF5079 domain-containing protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS01560,291.7433850336492,1.4836349211274502,0.19883612579416313,64.23716059342667,1.1248064823862275e-14,5.526386440171399e-14,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS01615,3856.9285629009905,1.721284014443575,0.1892585979498814,90.74688897388509,1.970440994823423e-20,1.3179563290375759e-19,-,cystatin-like fold lipoprotein,Cell structure,Cell envelope,Surface structures,pilus (Caulobacter type) biogenesis lipoprotein CpaD,TIGR02522,13.3
SAUSA300_RS01620,8063.9144914130775,2.33525384657453,0.19566272813844768,154.01378997035707,3.6002315996144957e-34,4.2381926390661844e-33,-,membrane protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS01635,297.7822832335883,1.9274147441936178,0.14492541228210448,198.228098488289,9.022259914999024e-44,1.427554351066781e-42,-,"5'-nucleotidase, lipoprotein e(P4) family",Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers; Transport and binding proteins",Pyridine nucleotides; Other,"5'-nucleotidase, lipoprotein e(P4) family",TIGR01533,399.1
SAUSA300_RS01650,1569.2825497272302,-1.0128664907460803,0.13601416948015096,69.70136980952363,7.320485003909017e-16,3.8818355615322945e-15,-,ABC transporter ATP-binding protein,NA,NA,NA,"ABC exporter ATP-binding subunit, DevA family",TIGR02982,200.5
SAUSA300_RS01660,76.90324873785993,3.7673942544087398,0.2987729709661897,320.2345789278915,2.8969748739940833e-70,7.47876934575841e-69,-,carbohydrate kinase,Metabolism,Energy metabolism,Sugars,ribokinase,TIGR02152,99.2
SAUSA300_RS01665,80.96409803619099,2.988016002251999,0.2602861889753166,271.8422268509006,9.337066784911458e-60,1.9769055789924043e-58,psuG,pseudouridine-5'-phosphate glycosidase,NA,NA,NA,"CRISPR-associated endonuclease Cas1, subtype MYXAN",TIGR03983,10.8
SAUSA300_RS01670,146.64301711909573,2.9580732040517836,0.20624935409385278,349.79258432824213,1.105364233161228e-76,3.253086938193494e-75,-,pyrimidine nucleoside transporter NupC,Metabolism,Transport and binding proteins,"Nucleosides, purines and pyrimidines","nucleoside transporter, NupC family",TIGR00804,353.6
SAUSA300_RS01755,775.0177857135265,-1.796932248730271,0.14849528728212022,266.7008633451368,1.2207967521125592e-58,2.5301442545544097e-57,ulaA,PTS ascorbate transporter subunit IIC,NA,NA,NA,NA,NA,NA
SAUSA300_RS01760,166.15930743211533,-2.2262132312934777,0.19236990211039398,264.5644812060467,3.552653505570271e-58,7.311509976848468e-57,-,PTS lactose transporter subunit IIB,NA,NA,NA,NA,NA,NA
SAUSA300_RS01765,241.18719494282968,-2.6370474813219884,0.24229364569841735,165.91597321194013,9.371393783952743e-37,1.1637135825389419e-35,-,PTS ascorbate transporter subunit IIA,Metabolism; Signal transduction,Transport and binding proteins; Signal transduction,"Carbohydrates, organic alcohols, and acids; PTS","PTS system, fructose subfamily, IIA component",TIGR00848,32.7
SAUSA300_RS01770,1129.3513269019816,-2.9180524665684997,0.12471553855273297,700.9823215872113,6.076071999506315e-153,4.705757866986075e-151,-,hypothetical protein,Metabolism; Signal transduction,Transport and binding proteins; Signal transduction,"Carbohydrates, organic alcohols, and acids; PTS","PTS system, fructose subfamily, IIA component",TIGR00848,27.5
SAUSA300_RS01820,425.9783447896916,-1.0898110458816819,0.12556194221272557,201.38463604815013,1.8615808901355584e-44,2.9775176954722546e-43,-,RimJ/RimL family protein N-acetyltransferase,NA,NA,NA,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase",TIGR03585,43.3
SAUSA300_RS01865,364.3035393130945,1.2055296701276734,0.1284761270322008,90.2089298886448,2.5785749865768236e-20,1.7169109016958353e-19,-,ABC transporter ATP-binding protein,NA,NA,NA,"lantibiotic protection ABC transporter, ATP-binding subunit",TIGR03740,120.5
SAUSA300_RS01885,3649.363988662478,1.7429626724373422,0.10235222645564122,342.4714589770206,4.2980115522780065e-75,1.2280629124615701e-73,-,acetyl-CoA acyltransferase,Metabolism,Fatty acid and phospholipid metabolism,Other,acetyl-CoA C-acyltransferase,TIGR01930,501.1
SAUSA300_RS01890,19212.417984299802,-7.685641228395282,0.6566201651508816,79.2408552737879,6.2096469159802275e-18,3.684473966477784e-17,mdh,metal-dependent hydrolase,Metabolism,Energy metabolism,Amino acids and amines,arylformamidase,TIGR03035,23.7
SAUSA300_RS01895,65161.19698382242,-9.81663278477319,0.5397416597065057,160.83406212616364,1.189397875042957e-35,1.4345893222341894e-34,metE,5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase,Metabolism,Amino acid biosynthesis,Aspartate family,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,TIGR01371,1093.7
SAUSA300_RS01900,34937.3980717324,-10.185336129843114,0.5716951121032957,153.5614658681617,4.51389414487783e-34,5.2715835191966094e-33,metF,bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase,Metabolism,Amino acid biosynthesis,Aspartate family,methionine synthase,TIGR02082,154.8
SAUSA300_RS01905,16299.927830097069,-10.882961854645869,0.7014039121620198,115.09977734283089,1.0148478029680225e-25,8.557871301246103e-25,metC,cystathionine beta-lyase,NA,NA,NA,cystathionine beta-lyase,TIGR01329,356
SAUSA300_RS01910,13225.034359860072,-10.168091278289133,0.6679263509845637,115.61486618917502,7.844238578288706e-26,6.6529089728829e-25,metI,cystathionine gamma-synthase,Metabolism,Amino acid biosynthesis,Aspartate family,O-succinylhomoserine (thiol)-lyase,TIGR02080,312.8
SAUSA300_RS01935,1402.7930281364017,2.4684613290340542,0.12251498673761853,431.62494831422157,1.8785958027449524e-94,6.910884309347994e-93,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS02025,12760.41847802605,1.5975450723645512,0.1653043131229754,102.9377760966195,4.439621346791818e-23,3.3849237366860935e-22,ahpC,alkyl hydroperoxide reductase subunit C,Cellular processes,Cellular processes,Detoxification; Adaptations to atypical conditions,peroxiredoxin,TIGR03137,321.6
SAUSA300_RS02035,7759.046420853713,-4.7299392328105245,0.23065441722440302,334.1577291725009,2.7451815255868655e-73,7.550531990469295e-72,tcyP,L-cystine transporter,NA,NA,NA,NA,NA,NA
SAUSA300_RS02055,6955.750878204702,1.7490526341138555,0.11327503233893926,244.96450391676407,6.406691962942742e-54,1.2009486908879292e-52,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS02195,10237.882426985365,-1.782929163181455,0.12773064017544739,676.2774086243387,1.406781340803583e-147,9.628273223220802e-146,-,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS02220,170.88338768168498,1.5588469737946866,0.19547878744647235,64.44639097360582,1.0130806277237304e-14,5.0025105493136554e-14,lpl4,tandem-type lipoprotein,NA,NA,NA,Staphylococcus tandem lipoproteins,TIGR01742,372.2
SAUSA300_RS02230,93.96200145001369,1.7266036329039125,0.23878757663165015,54.6070100065902,1.3875174076772537e-12,6.031704181379849e-12,lpl6,tandem-type lipoprotein,NA,NA,NA,Staphylococcus tandem lipoproteins,TIGR01742,349
SAUSA300_RS02245,1289.8171644735294,1.3400531635464512,0.17076389258771543,62.77097677635595,2.3412919999726763e-14,1.1258860058692134e-13,lpl9,tandem-type lipoprotein,NA,NA,NA,Staphylococcus tandem lipoproteins,TIGR01742,352.7
SAUSA300_RS02250,4132.717236792681,1.0053825070657112,0.11618257419283173,77.15730618319014,1.7599642376097563e-17,1.0175981829637549e-16,-,hypothetical protein,Metabolism,Fatty acid and phospholipid metabolism,Degradation,"esterase, PHB depolymerase family",TIGR01840,11.3
SAUSA300_RS02265,173.33773680512704,1.6940195867941463,0.19616543885544876,83.49654275156135,7.395305382411996e-19,4.601349627999684e-18,NA,hypothetical protein,NA,NA,NA,NA,NA,NA
SAUSA300_RS02280,1198.2918425384262,1.0185083474204255,0.18810513023616918,49.90358991499998,1.4573811110240196e-11,5.843423174037725e-11,mpsA,NADH dehydrogenase subunit 5,Metabolism,Energy metabolism,Electron transport,"proton-translocating NADH-quinone oxidoreductase, chain L",TIGR01974,128.8
SAUSA300_RS02320,2099.9963274601755,-3.1049134579445297,0.17379516510087883,284.5110115902012,1.656604408795322e-62,3.721669293957735e-61,mccA,cysteine synthase,Metabolism,Amino acid biosynthesis,Serine family,cysteine synthase,TIGR01136,271.8
SAUSA300_RS02325,5591.637680538916,-3.590927642502327,0.13387379195415,610.2207731096214,3.1062953594541943e-133,1.7925151456615086e-131,mccB,cystathionine gamma-synthase,NA,NA,NA,cystathionine beta-lyase,TIGR01329,398.3
SAUSA300_RS02330,2117.335230571718,-5.05701209649592,0.16616814589621598,883.3359585939073,1.5347362741439142e-192,1.6728625388168663e-190,metN2,methionine import ATP-binding protein MetN 1,NA,NA,NA,"D-methionine ABC transporter, ATP-binding protein",TIGR02314,375.9
SAUSA300_RS02335,1348.513845111479,-5.768291955580151,0.1932562461214082,1087.8918383291734,5.851791624782426e-237,7.17575947988945e-235,metP2,ABC transporter permease,Metabolism,Transport and binding proteins,Anions,"phosphonate ABC transporter, permease protein PhnE",TIGR01097,73.4
SAUSA300_RS02340,4099.177428511632,-5.295302875887377,0.1437360830541782,1221.3006724649952,6.27955114323512e-266,9.726694218179452e-264,metQ2,ABC transporter substrate-binding protein,Cell structure,Cell envelope,Other,"lipoprotein, YaeC family",TIGR00363,196.6
SAUSA300_RS02345,25201.334747904988,-1.0234354538433081,0.11699420269434027,80.49078194491858,3.323906345759044e-18,1.9882634909692817e-17,sle1,N-acetylmuramoyl-L-alanine amidase,Cellular processes,Cellular processes,Sporulation and germination,spore coat assembly protein SafA,TIGR02899,73.8
SAUSA300_RS02380,4935.10979491456,-5.265610099984129,0.19914777132075695,835.9622458833318,2.9723829858802452e-182,3.0164562508432968e-180,gltB,glutamate synthase large subunit,NA,NA,NA,formylmethanofuran dehydrogenase subunit C,TIGR03122,25.9
SAUSA300_RS02385,2667.566738914678,-3.9678502105390314,0.20805484568248211,536.139024259149,3.792190235518079e-117,1.8915959090050352e-115,gltD,glutamate synthase subunit beta,NA,NA,NA,"glutamate synthase, NADH/NADPH, small subunit",TIGR01317,607.8
SAUSA300_RS02390,137.1979325581471,-3.0895595296143514,0.28952908301070535,256.45743653267493,2.04632794647401e-56,3.988306719518551e-55,-,tRNA-Ser,NA,NA,NA,NA,NA,NA
SAUSA300_RS02635,11610.412529949916,-1.9655216647665459,0.12012963602610298,255.76176234081686,2.897603561474562e-56,5.610294264091865e-55,cysK,cysteine synthase,Metabolism,Amino acid biosynthesis,Serine family,cysteine synthase A,TIGR01139,463.6
SAUSA300_RS02705,1874.6691114867513,1.0294171403291585,0.12331469349695143,68.86426839472594,1.112536115105711e-15,5.8677308006381856e-15,pdxT,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT,Metabolism,"Biosynthesis of cofactors, prosthetic groups, and carriers",Pyridoxine,"pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2",TIGR03800,269.3
SAUSA300_RS02855,1084.1961697574368,-1.282722999757639,0.13430400967002415,91.7998330774887,1.1639103426601128e-20,7.929139209372018e-20,-,"N-acetyl-L,L-diaminopimelate deacetylase",Genetic information processing,Protein fate,"Degradation of proteins, peptides, and glycopeptides",amidohydrolase,TIGR01891,385.9
SAUSA300_RS02865,15589.578098023974,-2.7005937660740047,0.14398704821735372,324.9628597256619,2.724028197520372e-71,7.222355842614824e-70,hchA,Molecular chaperone Hsp31 and glyoxalase 3,Genetic information processing,Protein fate,"Degradation of proteins, peptides, and glycopeptides","intracellular protease, PfpI family",TIGR01382,28.8
