GeneID,Chromosome,Start,End,Strand,Length,Class,Assembly,Old_GeneID,Description,Name
SAUSA300_RS00120,NC_007793.1,28820,29608,+,789,protein_coding,GCF_000013465.1,SAUSA300_0023,hypothetical protein,NA
SAUSA300_RS00125,NC_007793.1,29998,30798,+,801,protein_coding,GCF_000013465.1,SAUSA300_0024,MBL fold metallo-hydrolase,NA
SAUSA300_RS00130,NC_007793.1,31026,33344,+,2319,protein_coding,GCF_000013465.1,SAUSA300_0025,LPXTG-anchored adenosine synthase AdsA,NA
SAUSA300_RS00135,NC_007793.1,33712,34191,+,480,protein_coding,GCF_000013465.1,SAUSA300_0026,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,rlmH
SAUSA300_RS00140,NC_007793.1,34513,35769,+,1257,protein_coding,GCF_000013465.1,SAUSA300_0027,DUF3578 domain-containing protein,NA
SAUSA300_RS00145,NC_007793.1,35877,36551,-,675,protein_coding,GCF_000013465.1,SAUSA300_0028,IS6-like element IS257 family transposase,NA
SAUSA300_RS14955,NC_007793.1,36587,36976,+,390,protein_coding,GCF_000013465.1,NA,hydroxymethylglutaryl-CoA synthase family protein,NA
SAUSA300_RS14960,NC_007793.1,37074,37304,+,231,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS00155,NC_007793.1,37813,38556,+,744,protein_coding,GCF_000013465.1,SAUSA300_0030,glycerophosphoryl diester phosphodiesterase,NA
SAUSA300_RS00160,NC_007793.1,38653,39081,+,429,protein_coding,GCF_000013465.1,SAUSA300_0031,MaoC family dehydratase,NA
SAUSA300_RS00165,NC_007793.1,39127,41136,-,2010,protein_coding,GCF_000013465.1,SAUSA300_0032,PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA,mecA
SAUSA300_RS00170,NC_007793.1,41233,42219,+,987,protein_coding,GCF_000013465.1,SAUSA300_0033,beta-lactam sensor/signal transducer MecR1,NA
SAUSA300_RS00175,NC_007793.1,42191,42451,+,261,protein_coding,GCF_000013465.1,SAUSA300_0035,DUF3387 domain-containing protein,NA
SAUSA300_RS00180,NC_007793.1,42442,44049,-,1608,pseudogene,GCF_000013465.1,SAUSA300_0034,IS1182 family transposase,NA
SAUSA300_RS00185,NC_007793.1,44101,44607,-,507,protein_coding,GCF_000013465.1,SAUSA300_0036,DUF1643 domain-containing protein,NA
SAUSA300_RS00190,NC_007793.1,44622,44933,-,312,protein_coding,GCF_000013465.1,NA,DUF960 domain-containing protein,NA
SAUSA300_RS15690,NC_007793.1,44935,45027,-,93,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS00195,NC_007793.1,45020,45370,-,351,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS00200,NC_007793.1,45892,47520,-,1629,protein_coding,GCF_000013465.1,SAUSA300_0037,recombinase RecB,NA
SAUSA300_RS00205,NC_007793.1,47542,48891,-,1350,protein_coding,GCF_000013465.1,SAUSA300_0038,recombinase RecA,NA
SAUSA300_RS00210,NC_007793.1,49125,50912,-,1788,protein_coding,GCF_000013465.1,SAUSA300_0039,DUF927 domain-containing protein,NA
SAUSA300_RS00215,NC_007793.1,50912,51202,-,291,protein_coding,GCF_000013465.1,SAUSA300_0040,hypothetical protein,NA
SAUSA300_RS00220,NC_007793.1,51341,52390,+,1050,protein_coding,GCF_000013465.1,SAUSA300_0041,hypothetical protein,NA
SAUSA300_RS00225,NC_007793.1,53118,54608,+,1491,protein_coding,GCF_000013465.1,SAUSA300_0042,ATPase AAA,NA
SAUSA300_RS00235,NC_007793.1,54981,56299,-,1319,pseudogene,GCF_000013465.1,SAUSA300_0044,persulfide dioxygenase-sulfurtransferase CstB,cstB
SAUSA300_RS00240,NC_007793.1,56489,56860,+,372,protein_coding,GCF_000013465.1,SAUSA300_0045,HNH endonuclease,NA
SAUSA300_RS00245,NC_007793.1,56989,57609,+,621,protein_coding,GCF_000013465.1,SAUSA300_0046,hypothetical protein,NA
SAUSA300_RS14965,NC_007793.1,58129,58350,-,222,pseudogene,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS00250,NC_007793.1,59098,60063,+,966,protein_coding,GCF_000013465.1,SAUSA300_0047,HNH endonuclease,NA
SAUSA300_RS00255,NC_007793.1,60160,60351,+,192,protein_coding,GCF_000013465.1,SAUSA300_0048,hypothetical protein,NA
SAUSA300_RS00260,NC_007793.1,60443,60772,+,330,protein_coding,GCF_000013465.1,SAUSA300_0049,hypothetical protein,NA
SAUSA300_RS00265,NC_007793.1,60849,61208,-,360,protein_coding,GCF_000013465.1,SAUSA300_0050,hypothetical protein,NA
SAUSA300_RS15695,NC_007793.1,61738,61818,-,81,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS00270,NC_007793.1,61779,62615,-,837,protein_coding,GCF_000013465.1,NA,IS3 family transposase,NA
SAUSA300_RS15700,NC_007793.1,62622,62789,+,168,protein_coding,GCF_000013465.1,SAUSA300_0052,hypothetical protein,NA
SAUSA300_RS00275,NC_007793.1,63100,63597,-,498,protein_coding,GCF_000013465.1,SAUSA300_0053,GNAT family N-acetyltransferase,NA
SAUSA300_RS00280,NC_007793.1,64095,65222,+,1128,protein_coding,GCF_000013465.1,SAUSA300_0055,zinc-binding dehydrogenase,NA
SAUSA300_RS00285,NC_007793.1,65477,65701,-,225,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS00290,NC_007793.1,65715,66218,-,504,protein_coding,GCF_000013465.1,SAUSA300_0056,DUF1643 domain-containing protein,NA
SAUSA300_RS00295,NC_007793.1,66234,66545,-,312,protein_coding,GCF_000013465.1,SAUSA300_0057,hypothetical protein,NA
SAUSA300_RS15705,NC_007793.1,66547,66639,-,93,protein_coding,GCF_000013465.1,SAUSA300_0058,hypothetical protein,NA
SAUSA300_RS00300,NC_007793.1,66632,66982,-,351,protein_coding,GCF_000013465.1,SAUSA300_0059,hypothetical protein,NA
SAUSA300_RS14975,NC_007793.1,67589,67803,-,215,pseudogene,GCF_000013465.1,NA,M15 family metallopeptidase,NA
SAUSA300_RS00305,NC_007793.1,67790,68790,+,1001,pseudogene,GCF_000013465.1,SAUSA300_0060,IS3 family transposase,NA
SAUSA300_RS00310,NC_007793.1,68890,69819,-,930,protein_coding,GCF_000013465.1,SAUSA300_0061,carbamate kinase,arcC
SAUSA300_RS00315,NC_007793.1,69839,70837,-,999,protein_coding,GCF_000013465.1,SAUSA300_0062,ornithine carbamoyltransferase,argF
SAUSA300_RS00320,NC_007793.1,70875,71564,-,690,protein_coding,GCF_000013465.1,SAUSA300_0063,Crp/Fnr family transcriptional regulator,NA
SAUSA300_RS00325,NC_007793.1,71606,73027,-,1422,protein_coding,GCF_000013465.1,SAUSA300_0064,arginine-ornithine antiporter,arcD
SAUSA300_RS00330,NC_007793.1,73113,74348,-,1236,protein_coding,GCF_000013465.1,SAUSA300_0065,arginine deiminase,arcA
SAUSA300_RS00335,NC_007793.1,74617,75063,-,447,protein_coding,GCF_000013465.1,SAUSA300_0066,ArgR family transcriptional regulator,NA
SAUSA300_RS00340,NC_007793.1,75565,75996,+,432,protein_coding,GCF_000013465.1,SAUSA300_0067,universal stress protein,NA
SAUSA300_RS14980,NC_007793.1,76073,76225,-,153,protein_coding,GCF_000013465.1,SAUSA300_0068,hypothetical protein,NA
SAUSA300_RS14985,NC_007793.1,76269,76942,+,674,pseudogene,GCF_000013465.1,SAUSA300_0069,IS6 family transposase,NA
SAUSA300_RS00355,NC_007793.1,77130,77945,+,816,protein_coding,GCF_000013465.1,SAUSA300_0070,alpha/beta hydrolase,NA
SAUSA300_RS00360,NC_007793.1,78267,79445,+,1179,protein_coding,GCF_000013465.1,SAUSA300_0071,IS110 family transposase,NA
SAUSA300_RS00365,NC_007793.1,79705,80397,+,693,protein_coding,GCF_000013465.1,SAUSA300_0072,class I SAM-dependent methyltransferase,NA
SAUSA300_RS00370,NC_007793.1,80394,81947,+,1554,protein_coding,GCF_000013465.1,SAUSA300_0073,nickel ABC transporter substrate-binding protein,NA
SAUSA300_RS00375,NC_007793.1,81950,82906,+,957,protein_coding,GCF_000013465.1,SAUSA300_0074,ABC transporter permease,NA
SAUSA300_RS00380,NC_007793.1,82906,83673,+,768,protein_coding,GCF_000013465.1,SAUSA300_0075,ABC transporter permease,NA
SAUSA300_RS00385,NC_007793.1,83640,84407,+,768,protein_coding,GCF_000013465.1,SAUSA300_0076,ABC transporter ATP-binding protein,NA
SAUSA300_RS00390,NC_007793.1,84400,85035,+,636,protein_coding,GCF_000013465.1,SAUSA300_0077,ATP-binding cassette domain-containing protein,NA
SAUSA300_RS00395,NC_007793.1,86094,88118,+,2025,protein_coding,GCF_000013465.1,SAUSA300_0078,copper-translocating P-type ATPase,NA
SAUSA300_RS00400,NC_007793.1,88157,88681,+,525,protein_coding,GCF_000013465.1,SAUSA300_0079,DUF1541 domain-containing protein,NA
SAUSA300_RS00405,NC_007793.1,89109,89243,-,135,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS00410,NC_007793.1,89207,89299,+,93,protein_coding,GCF_000013465.1,SAUSA300_0080,hypothetical protein,NA
SAUSA300_RS00415,NC_007793.1,89446,91197,+,1752,protein_coding,GCF_000013465.1,SAUSA300_0081,hypothetical protein,NA
SAUSA300_RS00420,NC_007793.1,91291,91743,-,453,protein_coding,GCF_000013465.1,SAUSA300_0082,tRNA-dihydrouridine synthase,NA
SAUSA300_RS00425,NC_007793.1,91759,91860,-,102,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS00430,NC_007793.1,91958,92713,-,756,protein_coding,GCF_000013465.1,SAUSA300_0083,sulfite exporter TauE/SafE family protein,NA
SAUSA300_RS00435,NC_007793.1,92713,92973,-,261,protein_coding,GCF_000013465.1,SAUSA300_0084,persulfide-sensing transcriptional repressor CstR,cstR
SAUSA300_RS00440,NC_007793.1,93110,94177,+,1068,protein_coding,GCF_000013465.1,SAUSA300_0085,persulfide response sulfurtransferase CstA,cstA
SAUSA300_RS00445,NC_007793.1,94208,95542,+,1335,protein_coding,GCF_000013465.1,SAUSA300_0086,persulfide dioxygenase-sulfurtransferase CstB,cstB
SAUSA300_RS14990,NC_007793.1,95561,95815,+,255,protein_coding,GCF_000013465.1,NA,NAD(P)/FAD-dependent oxidoreductase,NA
SAUSA300_RS14995,NC_007793.1,96065,96754,+,690,protein_coding,GCF_000013465.1,NA,NAD(P)/FAD-dependent oxidoreductase,NA
SAUSA300_RS00455,NC_007793.1,97021,97122,-,102,protein_coding,GCF_000013465.1,SAUSA300_0088,universal stress protein,NA
SAUSA300_RS15000,NC_007793.1,97119,97320,-,202,pseudogene,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS00460,NC_007793.1,97421,98353,-,933,protein_coding,GCF_000013465.1,SAUSA300_0089,tRNA-dihydrouridine synthase,NA
SAUSA300_RS00465,NC_007793.1,98716,98919,+,204,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS00470,NC_007793.1,98968,99264,+,297,protein_coding,GCF_000013465.1,SAUSA300_0090,TfoX/Sxy family protein,NA
SAUSA300_RS00475,NC_007793.1,99336,100556,-,1221,protein_coding,GCF_000013465.1,SAUSA300_0091,MFS transporter,NA
SAUSA300_RS00480,NC_007793.1,100549,101034,-,486,protein_coding,GCF_000013465.1,SAUSA300_0092,flavodoxin family protein,NA
SAUSA300_RS00485,NC_007793.1,101212,102072,+,861,protein_coding,GCF_000013465.1,SAUSA300_0093,LysR family transcriptional regulator,NA
SAUSA300_RS00490,NC_007793.1,102427,102960,-,534,protein_coding,GCF_000013465.1,SAUSA300_0094,DUF4865 family protein,NA
SAUSA300_RS00495,NC_007793.1,103051,103794,+,744,protein_coding,GCF_000013465.1,SAUSA300_0095,LysR family transcriptional regulator,NA
SAUSA300_RS00500,NC_007793.1,104228,104830,+,603,protein_coding,GCF_000013465.1,SAUSA300_0096,hypothetical protein,NA
SAUSA300_RS00505,NC_007793.1,105097,108249,+,3153,protein_coding,GCF_000013465.1,SAUSA300_0097,ATPase,NA
SAUSA300_RS00510,NC_007793.1,108306,108788,+,483,protein_coding,GCF_000013465.1,SAUSA300_0098,hypothetical protein,NA
SAUSA300_RS00515,NC_007793.1,108993,109979,+,987,protein_coding,GCF_000013465.1,SAUSA300_0099,phosphatidylinositol-specific phospholipase C,NA
SAUSA300_RS00520,NC_007793.1,110200,110970,+,771,protein_coding,GCF_000013465.1,SAUSA300_0100,tandem-type lipoprotein,NA
SAUSA300_RS00525,NC_007793.1,111022,111792,+,771,protein_coding,GCF_000013465.1,SAUSA300_0101,tandem-type lipoprotein,NA
SAUSA300_RS00530,NC_007793.1,111856,112626,+,771,protein_coding,GCF_000013465.1,SAUSA300_0102,tandem-type lipoprotein,NA
SAUSA300_RS00535,NC_007793.1,112693,113460,+,768,protein_coding,GCF_000013465.1,SAUSA300_0103,tandem-type lipoprotein,NA
SAUSA300_RS00540,NC_007793.1,113593,115791,+,2199,protein_coding,GCF_000013465.1,SAUSA300_0104,helix-turn-helix domain-containing protein,NA
SAUSA300_RS00545,NC_007793.1,115942,117120,+,1179,protein_coding,GCF_000013465.1,SAUSA300_0105,amidohydrolase,NA
SAUSA300_RS00550,NC_007793.1,117122,118510,+,1389,protein_coding,GCF_000013465.1,SAUSA300_0106,MFS transporter,NA
SAUSA300_RS00555,NC_007793.1,119003,120664,-,1662,protein_coding,GCF_000013465.1,SAUSA300_0107,Na/Pi cotransporter family protein,NA
SAUSA300_RS00560,NC_007793.1,120990,122765,-,1776,protein_coding,GCF_000013465.1,SAUSA300_0108,oleate hydratase,NA
SAUSA300_RS00565,NC_007793.1,122939,123811,-,873,protein_coding,GCF_000013465.1,SAUSA300_0109,DMT family transporter,NA
SAUSA300_RS00570,NC_007793.1,123924,125321,+,1398,protein_coding,GCF_000013465.1,SAUSA300_0110,PLP-dependent aminotransferase family protein,NA
SAUSA300_RS00575,NC_007793.1,125511,125984,+,474,protein_coding,GCF_000013465.1,SAUSA300_0111,DUF1648 domain-containing protein,NA
SAUSA300_RS00580,NC_007793.1,126246,127838,+,1593,protein_coding,GCF_000013465.1,SAUSA300_0112,L-lactate permease,NA
SAUSA300_RS00585,NC_007793.1,128167,129693,-,1527,protein_coding,GCF_000013465.1,SAUSA300_0113,staphylococcal protein A,spa
SAUSA300_RS00590,NC_007793.1,130114,130866,-,753,protein_coding,GCF_000013465.1,SAUSA300_0114,HTH-type transcriptional regulator SarS,sarS
SAUSA300_RS00595,NC_007793.1,131235,132233,-,999,protein_coding,GCF_000013465.1,SAUSA300_0115,staphyloferrin B ABC transporter permease subunit SirC,sirC
SAUSA300_RS00600,NC_007793.1,132230,133225,-,996,protein_coding,GCF_000013465.1,SAUSA300_0116,staphyloferrin B ABC transporter permease subunit SirB,sirB
SAUSA300_RS00605,NC_007793.1,133241,134233,-,993,protein_coding,GCF_000013465.1,SAUSA300_0117,staphyloferrin B ABC transporter substrate-binding protein SirA,sirA
SAUSA300_RS00610,NC_007793.1,134464,135444,+,981,protein_coding,GCF_000013465.1,SAUSA300_0118,"2,3-diaminopropionate biosynthesis protein SbnA",sbnA
SAUSA300_RS00615,NC_007793.1,135441,136451,+,1011,protein_coding,GCF_000013465.1,SAUSA300_0119,N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate dehydrogenase SbnB,sbnB
SAUSA300_RS00620,NC_007793.1,136472,138226,+,1755,protein_coding,GCF_000013465.1,SAUSA300_0120,staphyloferrin B biosynthesis protein SbnC,sbnC
SAUSA300_RS00625,NC_007793.1,138219,139475,+,1257,protein_coding,GCF_000013465.1,SAUSA300_0121,staphyloferrin B export MFS transporter,sbnD
SAUSA300_RS00630,NC_007793.1,139465,141201,+,1737,protein_coding,GCF_000013465.1,SAUSA300_0122,"L-2,3-diaminopropanoate--citrate ligase SbnE",sbnE
SAUSA300_RS00635,NC_007793.1,141110,142960,+,1851,protein_coding,GCF_000013465.1,SAUSA300_0123,3-(L-alanin-3-ylcarbamoyl)-2-[(2-aminoethylcarbamoyl)methyl]-2-hydroxypropanoate synthase SbnF,sbnF
SAUSA300_RS00640,NC_007793.1,142935,143711,+,777,protein_coding,GCF_000013465.1,SAUSA300_0124,staphyloferrin B biosynthesis citrate synthase SbnG,sbnG
SAUSA300_RS00645,NC_007793.1,143711,144913,+,1203,protein_coding,GCF_000013465.1,SAUSA300_0125,staphyloferrin B biosynthesis decarboxylase SbnH,sbnH
SAUSA300_RS00650,NC_007793.1,144917,145681,+,765,protein_coding,GCF_000013465.1,SAUSA300_0126,bifunctional transcriptional regulator/O-phospho-L-serine synthase SbnI,sbnI
SAUSA300_RS00660,NC_007793.1,145877,146284,+,408,protein_coding,GCF_000013465.1,SAUSA300_0127,hypothetical protein,NA
SAUSA300_RS00665,NC_007793.1,146334,146960,+,627,protein_coding,GCF_000013465.1,SAUSA300_0128,MFS transporter,NA
SAUSA300_RS00670,NC_007793.1,147172,147948,+,777,protein_coding,GCF_000013465.1,SAUSA300_0129,(S)-acetoin forming diacetyl reductase,NA
SAUSA300_RS00675,NC_007793.1,148092,148214,+,123,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS00680,NC_007793.1,148284,149264,+,981,protein_coding,GCF_000013465.1,SAUSA300_0130,NAD-dependent epimerase/dehydratase family protein,NA
SAUSA300_RS00685,NC_007793.1,149227,149919,+,693,protein_coding,GCF_000013465.1,SAUSA300_0131,sugar transferase,NA
SAUSA300_RS00690,NC_007793.1,150129,151295,+,1167,protein_coding,GCF_000013465.1,SAUSA300_0132,glycosyltransferase family 4 protein,NA
SAUSA300_RS00695,NC_007793.1,151276,152514,+,1239,protein_coding,GCF_000013465.1,SAUSA300_0133,O-antigen ligase family protein,NA
SAUSA300_RS00700,NC_007793.1,152504,153934,+,1431,protein_coding,GCF_000013465.1,SAUSA300_0134,lipopolysaccharide biosynthesis protein,NA
SAUSA300_RS00705,NC_007793.1,154202,154801,+,600,protein_coding,GCF_000013465.1,SAUSA300_0135,Superoxide dismutase [Mn/Fe] 2,NA
SAUSA300_RS00710,NC_007793.1,155169,155894,+,726,protein_coding,GCF_000013465.1,SAUSA300_0136,cell-wall-anchored protein SasD,sasD
SAUSA300_RS00715,NC_007793.1,156086,156841,-,756,protein_coding,GCF_000013465.1,SAUSA300_0137,GntR family transcriptional regulator,NA
SAUSA300_RS00725,NC_007793.1,157077,157784,+,708,protein_coding,GCF_000013465.1,SAUSA300_0138,purine-nucleoside phosphorylase,deoD
SAUSA300_RS00730,NC_007793.1,157791,159143,+,1353,protein_coding,GCF_000013465.1,SAUSA300_0139,tetracycline efflux MFS transporter Tet(38),tet(38)
SAUSA300_RS00735,NC_007793.1,159224,159886,+,663,protein_coding,GCF_000013465.1,SAUSA300_0140,deoxyribose-phosphate aldolase,deoC
SAUSA300_RS00740,NC_007793.1,159914,161092,+,1179,protein_coding,GCF_000013465.1,SAUSA300_0141,phosphopentomutase,deoB
SAUSA300_RS00745,NC_007793.1,161223,162038,-,816,protein_coding,GCF_000013465.1,SAUSA300_0142,"phosphonate ABC transporter, permease protein PhnE",phnE
SAUSA300_RS00750,NC_007793.1,162035,162835,-,801,protein_coding,GCF_000013465.1,SAUSA300_0143,"phosphonate ABC transporter, permease protein PhnE",phnE
SAUSA300_RS00755,NC_007793.1,162837,163610,-,774,protein_coding,GCF_000013465.1,SAUSA300_0144,phosphonate ABC transporter ATP-binding protein,phnC
SAUSA300_RS00760,NC_007793.1,163824,164780,-,957,protein_coding,GCF_000013465.1,SAUSA300_0145,phosphate/phosphite/phosphonate ABC transporter substrate-binding protein,NA
SAUSA300_RS00765,NC_007793.1,165009,166553,+,1545,protein_coding,GCF_000013465.1,SAUSA300_0146,hypothetical protein,NA
SAUSA300_RS00770,NC_007793.1,166604,168139,+,1536,protein_coding,GCF_000013465.1,SAUSA300_0147,bifunctional metallophosphatase/5'-nucleotidase,NA
SAUSA300_RS00775,NC_007793.1,168223,168426,+,204,protein_coding,GCF_000013465.1,SAUSA300_0148,hypothetical protein,NA
SAUSA300_RS15710,NC_007793.1,168651,169559,+,909,pseudogene,GCF_000013465.1,SAUSA300_0149,replication initiation factor domain-containing protein,NA
SAUSA300_RS00790,NC_007793.1,169715,169969,+,255,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS15715,NC_007793.1,169962,170225,+,264,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS15720,NC_007793.1,170273,170757,+,485,pseudogene,GCF_000013465.1,SAUSA300_0150,IS200/IS605 family transposase,tnpA
SAUSA300_RS00800,NC_007793.1,171207,173816,+,2610,protein_coding,GCF_000013465.1,SAUSA300_0151,bifunctional acetaldehyde-CoA/alcohol dehydrogenase,adhE
SAUSA300_RS00805,NC_007793.1,174161,174829,+,669,protein_coding,GCF_000013465.1,SAUSA300_0152,capsular polysaccharide type 5/8 biosynthesis protein CapA,NA
SAUSA300_RS00810,NC_007793.1,174845,175531,+,687,protein_coding,GCF_000013465.1,SAUSA300_0153,tyrosine-protein kinase,NA
SAUSA300_RS00815,NC_007793.1,175534,176298,+,765,protein_coding,GCF_000013465.1,SAUSA300_0154,tyrosine-protein phosphatase,NA
SAUSA300_RS00820,NC_007793.1,176318,178142,+,1825,pseudogene,GCF_000013465.1,NA,polysaccharide biosynthesis protein,NA
SAUSA300_RS00825,NC_007793.1,178132,179160,+,1029,protein_coding,GCF_000013465.1,SAUSA300_0156,NAD-dependent epimerase/dehydratase family protein,NA
SAUSA300_RS00830,NC_007793.1,179173,180282,+,1110,protein_coding,GCF_000013465.1,SAUSA300_0157,capsular polysaccharide biosynthesis protein CapF,NA
SAUSA300_RS00835,NC_007793.1,180286,181410,+,1125,protein_coding,GCF_000013465.1,SAUSA300_0158,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),NA
SAUSA300_RS00840,NC_007793.1,181413,182039,+,627,protein_coding,GCF_000013465.1,SAUSA300_0159,O-acetyltransferase,NA
SAUSA300_RS00845,NC_007793.1,182044,183153,+,1110,protein_coding,GCF_000013465.1,SAUSA300_0160,glycosyltransferase,NA
SAUSA300_RS00850,NC_007793.1,183167,184333,+,1167,protein_coding,GCF_000013465.1,SAUSA300_0161,O-antigen ligase family protein,NA
SAUSA300_RS00855,NC_007793.1,184326,185531,+,1206,protein_coding,GCF_000013465.1,SAUSA300_0162,capsular polysaccharide biosynthesis protein,NA
SAUSA300_RS00860,NC_007793.1,185532,186737,+,1206,protein_coding,GCF_000013465.1,SAUSA300_0163,glycosyltransferase family 4 protein,NA
SAUSA300_RS00865,NC_007793.1,186748,187305,+,558,protein_coding,GCF_000013465.1,SAUSA300_0164,sugar transferase,NA
SAUSA300_RS00870,NC_007793.1,187305,188192,+,888,protein_coding,GCF_000013465.1,SAUSA300_0165,capsular polysaccharide type 5/8 biosynthesis epimerase CapN,NA
SAUSA300_RS00875,NC_007793.1,188246,189508,+,1263,protein_coding,GCF_000013465.1,SAUSA300_0166,nucleotide sugar dehydrogenase,NA
SAUSA300_RS00880,NC_007793.1,189585,190730,+,1146,protein_coding,GCF_000013465.1,SAUSA300_0167,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),NA
SAUSA300_RS00885,NC_007793.1,190795,191121,-,327,protein_coding,GCF_000013465.1,SAUSA300_0168,staphylobilin-forming heme oxygenase IsdI,isdI
SAUSA300_RS00890,NC_007793.1,191128,191511,-,384,protein_coding,GCF_000013465.1,SAUSA300_0169,YbaN family protein,NA
SAUSA300_RS00895,NC_007793.1,191938,193425,+,1488,protein_coding,GCF_000013465.1,SAUSA300_0170,aldehyde dehydrogenase family protein,NA
SAUSA300_RS00900,NC_007793.1,194071,195030,+,960,protein_coding,GCF_000013465.1,SAUSA300_0171,cation transporter,NA
SAUSA300_RS00905,NC_007793.1,195092,195295,-,204,protein_coding,GCF_000013465.1,SAUSA300_0172,hypothetical protein,NA
SAUSA300_RS00910,NC_007793.1,195474,195986,+,513,protein_coding,GCF_000013465.1,SAUSA300_0173,DUF4242 domain-containing protein,NA
SAUSA300_RS00915,NC_007793.1,196328,197068,+,741,protein_coding,GCF_000013465.1,SAUSA300_0174,ABC transporter ATP-binding protein,NA
SAUSA300_RS00920,NC_007793.1,197082,198056,+,975,protein_coding,GCF_000013465.1,SAUSA300_0175,ABC transporter substrate-binding protein,NA
